year,value,variable,country,unit,source_note
2001,-0.7400508978388065,nominal_gdp_yoy,jp,pct,"JP1-lineage FRED JPNNGDP.csv (2008SNA, quarterly) annual sum YoY; complete years only; 1994-2025"
2002,-1.3425439191146915,nominal_gdp_yoy,jp,pct,"JP1-lineage FRED JPNNGDP.csv (2008SNA, quarterly) annual sum YoY; complete years only; 1994-2025"
2003,-0.3901795127185914,nominal_gdp_yoy,jp,pct,"JP1-lineage FRED JPNNGDP.csv (2008SNA, quarterly) annual sum YoY; complete years only; 1994-2025"
2004,0.794619796653917,nominal_gdp_yoy,jp,pct,"JP1-lineage FRED JPNNGDP.csv (2008SNA, quarterly) annual sum YoY; complete years only; 1994-2025"
2005,0.5387217385147913,nominal_gdp_yoy,jp,pct,"JP1-lineage FRED JPNNGDP.csv (2008SNA, quarterly) annual sum YoY; complete years only; 1994-2025"
2006,0.5743385878049567,nominal_gdp_yoy,jp,pct,"JP1-lineage FRED JPNNGDP.csv (2008SNA, quarterly) annual sum YoY; complete years only; 1994-2025"
2007,0.7512156833582084,nominal_gdp_yoy,jp,pct,"JP1-lineage FRED JPNNGDP.csv (2008SNA, quarterly) annual sum YoY; complete years only; 1994-2025"
2008,-2.0503549832703305,nominal_gdp_yoy,jp,pct,"JP1-lineage FRED JPNNGDP.csv (2008SNA, quarterly) annual sum YoY; complete years only; 1994-2025"
2009,-6.363910770619818,nominal_gdp_yoy,jp,pct,"JP1-lineage FRED JPNNGDP.csv (2008SNA, quarterly) annual sum YoY; complete years only; 1994-2025"
2010,2.162546697150214,nominal_gdp_yoy,jp,pct,"JP1-lineage FRED JPNNGDP.csv (2008SNA, quarterly) annual sum YoY; complete years only; 1994-2025"
2011,-1.7443896076653087,nominal_gdp_yoy,jp,pct,"JP1-lineage FRED JPNNGDP.csv (2008SNA, quarterly) annual sum YoY; complete years only; 1994-2025"
2012,0.8207862719853853,nominal_gdp_yoy,jp,pct,"JP1-lineage FRED JPNNGDP.csv (2008SNA, quarterly) annual sum YoY; complete years only; 1994-2025"
2013,1.8372855794628773,nominal_gdp_yoy,jp,pct,"JP1-lineage FRED JPNNGDP.csv (2008SNA, quarterly) annual sum YoY; complete years only; 1994-2025"
2014,2.5777984365966233,nominal_gdp_yoy,jp,pct,"JP1-lineage FRED JPNNGDP.csv (2008SNA, quarterly) annual sum YoY; complete years only; 1994-2025"
2015,3.943782136440155,nominal_gdp_yoy,jp,pct,"JP1-lineage FRED JPNNGDP.csv (2008SNA, quarterly) annual sum YoY; complete years only; 1994-2025"
2016,1.2482491087562275,nominal_gdp_yoy,jp,pct,"JP1-lineage FRED JPNNGDP.csv (2008SNA, quarterly) annual sum YoY; complete years only; 1994-2025"
2017,1.6686482313304163,nominal_gdp_yoy,jp,pct,"JP1-lineage FRED JPNNGDP.csv (2008SNA, quarterly) annual sum YoY; complete years only; 1994-2025"
2018,0.7365241785773247,nominal_gdp_yoy,jp,pct,"JP1-lineage FRED JPNNGDP.csv (2008SNA, quarterly) annual sum YoY; complete years only; 1994-2025"
2019,0.4655973872998098,nominal_gdp_yoy,jp,pct,"JP1-lineage FRED JPNNGDP.csv (2008SNA, quarterly) annual sum YoY; complete years only; 1994-2025"
2020,-3.1514008132401905,nominal_gdp_yoy,jp,pct,"JP1-lineage FRED JPNNGDP.csv (2008SNA, quarterly) annual sum YoY; complete years only; 1994-2025"
2021,3.610014210059709,nominal_gdp_yoy,jp,pct,"JP1-lineage FRED JPNNGDP.csv (2008SNA, quarterly) annual sum YoY; complete years only; 1994-2025"
2022,1.8772313475616365,nominal_gdp_yoy,jp,pct,"JP1-lineage FRED JPNNGDP.csv (2008SNA, quarterly) annual sum YoY; complete years only; 1994-2025"
2023,5.480047417158951,nominal_gdp_yoy,jp,pct,"JP1-lineage FRED JPNNGDP.csv (2008SNA, quarterly) annual sum YoY; complete years only; 1994-2025"
2024,3.2714827022203075,nominal_gdp_yoy,jp,pct,"JP1-lineage FRED JPNNGDP.csv (2008SNA, quarterly) annual sum YoY; complete years only; 1994-2025"
2025,4.654700603380579,nominal_gdp_yoy,jp,pct,"JP1-lineage FRED JPNNGDP.csv (2008SNA, quarterly) annual sum YoY; complete years only; 1994-2025"
